motion.py - Detect flow/motion in front of the PMW3901 sensor.

Press Ctrl+C to exit!

12:42:30.436362 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:42:30.468248 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:42:30.533172 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:42:30.701866 | Relative x,y | (000,-01) | Absolute x,y | (000,-01) | Distance : 1.00
12:42:30.712539 | Relative x,y | (000,-02) | Absolute x,y | (000,-03) | Distance : 3.00
12:42:30.723216 | Relative x,y | (000,-01) | Absolute x,y | (000,-04) | Distance : 4.00
12:42:30.733936 | Relative x,y | (000,-03) | Absolute x,y | (000,-07) | Distance : 7.00
12:42:30.744771 | Relative x,y | (000,-01) | Absolute x,y | (000,-08) | Distance : 8.00
12:42:30.755556 | Relative x,y | (-01,-04) | Absolute x,y | (-01,-12) | Distance : 11.96
12:42:30.766250 | Relative x,y | (000,-02) | Absolute x,y | (-01,-14) | Distance : 13.96
12:42:30.776966 | Relative x,y | (000,-02) | Absolute x,y | (-01,-16) | Distance : 15.97
12:42:30.787890 | Relative x,y | (000,-04) | Absolute x,y | (-01,-20) | Distance : 19.97
12:42:30.798539 | Relative x,y | (-01,-02) | Absolute x,y | (-02,-22) | Distance : 21.91
12:42:30.809245 | Relative x,y | (000,-03) | Absolute x,y | (-02,-25) | Distance : 24.92
12:42:30.819956 | Relative x,y | (000,-05) | Absolute x,y | (-02,-30) | Distance : 29.93
12:42:30.831934 | Relative x,y | (000,-03) | Absolute x,y | (-02,-33) | Distance : 32.94
12:42:30.842619 | Relative x,y | (000,-03) | Absolute x,y | (-02,-36) | Distance : 35.94
12:42:30.853345 | Relative x,y | (000,-06) | Absolute x,y | (-02,-42) | Distance : 41.95
12:42:30.863965 | Relative x,y | (000,-03) | Absolute x,y | (-02,-45) | Distance : 44.96
12:42:30.874555 | Relative x,y | (000,-03) | Absolute x,y | (-02,-48) | Distance : 47.96
12:42:30.885104 | Relative x,y | (000,-06) | Absolute x,y | (-02,-54) | Distance : 53.96
12:42:30.895666 | Relative x,y | (000,-04) | Absolute x,y | (-02,-58) | Distance : 57.97
12:42:30.906231 | Relative x,y | (000,-03) | Absolute x,y | (-02,-61) | Distance : 60.97
12:42:30.916760 | Relative x,y | (000,-04) | Absolute x,y | (-02,-65) | Distance : 64.97
12:42:30.927278 | Relative x,y | (000,-08) | Absolute x,y | (-02,-73) | Distance : 72.97
12:42:30.937798 | Relative x,y | (000,-04) | Absolute x,y | (-02,-77) | Distance : 76.97
12:42:30.948348 | Relative x,y | (000,-04) | Absolute x,y | (-02,-81) | Distance : 80.98
12:42:30.958969 | Relative x,y | (000,-09) | Absolute x,y | (-02,-90) | Distance : 89.98
12:42:30.969661 | Relative x,y | (000,-05) | Absolute x,y | (-02,-95) | Distance : 94.98
12:42:30.980394 | Relative x,y | (000,-04) | Absolute x,y | (-02,-99) | Distance : 98.98
12:42:30.991174 | Relative x,y | (000,-08) | Absolute x,y | (-02,-107) | Distance : 106.98
12:42:31.001874 | Relative x,y | (000,-04) | Absolute x,y | (-02,-111) | Distance : 110.98
12:42:31.012564 | Relative x,y | (000,-04) | Absolute x,y | (-02,-115) | Distance : 114.98
12:42:31.023221 | Relative x,y | (000,-04) | Absolute x,y | (-02,-119) | Distance : 118.98
12:42:31.033926 | Relative x,y | (001,-09) | Absolute x,y | (-01,-128) | Distance : 128.00
12:42:31.044621 | Relative x,y | (000,-03) | Absolute x,y | (-01,-131) | Distance : 131.00
12:42:31.055334 | Relative x,y | (000,-04) | Absolute x,y | (-01,-135) | Distance : 135.00
12:42:31.066000 | Relative x,y | (000,-08) | Absolute x,y | (-01,-143) | Distance : 143.00
12:42:31.076678 | Relative x,y | (000,-04) | Absolute x,y | (-01,-147) | Distance : 147.00
12:42:31.087380 | Relative x,y | (000,-04) | Absolute x,y | (-01,-151) | Distance : 151.00
12:42:31.098108 | Relative x,y | (000,-09) | Absolute x,y | (-01,-160) | Distance : 160.00
12:42:31.108835 | Relative x,y | (000,-05) | Absolute x,y | (-01,-165) | Distance : 165.00
12:42:31.119441 | Relative x,y | (000,-04) | Absolute x,y | (-01,-169) | Distance : 169.00
12:42:31.129983 | Relative x,y | (000,-08) | Absolute x,y | (-01,-177) | Distance : 177.00
12:42:31.140511 | Relative x,y | (000,-04) | Absolute x,y | (-01,-181) | Distance : 181.00
12:42:31.151048 | Relative x,y | (-01,-04) | Absolute x,y | (-02,-185) | Distance : 184.99
12:42:31.161654 | Relative x,y | (000,-08) | Absolute x,y | (-02,-193) | Distance : 192.99
12:42:31.172323 | Relative x,y | (000,-05) | Absolute x,y | (-02,-198) | Distance : 197.99
12:42:31.183028 | Relative x,y | (-01,-05) | Absolute x,y | (-03,-203) | Distance : 202.98
12:42:31.193739 | Relative x,y | (000,-08) | Absolute x,y | (-03,-211) | Distance : 210.98
12:42:31.204394 | Relative x,y | (000,-04) | Absolute x,y | (-03,-215) | Distance : 214.98
12:42:31.215987 | Relative x,y | (000,-04) | Absolute x,y | (-03,-219) | Distance : 218.98
12:42:31.226709 | Relative x,y | (000,-09) | Absolute x,y | (-03,-228) | Distance : 227.98
12:42:31.237456 | Relative x,y | (000,-04) | Absolute x,y | (-03,-232) | Distance : 231.98
12:42:31.248135 | Relative x,y | (000,-05) | Absolute x,y | (-03,-237) | Distance : 236.98
12:42:31.258785 | Relative x,y | (000,-08) | Absolute x,y | (-03,-245) | Distance : 244.98
12:42:31.269468 | Relative x,y | (000,-05) | Absolute x,y | (-03,-250) | Distance : 249.98
12:42:31.280161 | Relative x,y | (000,-04) | Absolute x,y | (-03,-254) | Distance : 253.98
12:42:31.290842 | Relative x,y | (-01,-04) | Absolute x,y | (-04,-258) | Distance : 257.97
12:42:31.301454 | Relative x,y | (000,-09) | Absolute x,y | (-04,-267) | Distance : 266.97
12:42:31.312001 | Relative x,y | (000,-05) | Absolute x,y | (-04,-272) | Distance : 271.97
12:42:31.322518 | Relative x,y | (000,-05) | Absolute x,y | (-04,-277) | Distance : 276.97
12:42:31.333046 | Relative x,y | (000,-09) | Absolute x,y | (-04,-286) | Distance : 285.97
12:42:31.343592 | Relative x,y | (000,-04) | Absolute x,y | (-04,-290) | Distance : 289.97
12:42:31.354129 | Relative x,y | (000,-04) | Absolute x,y | (-04,-294) | Distance : 293.97
12:42:31.364696 | Relative x,y | (000,-08) | Absolute x,y | (-04,-302) | Distance : 301.97
12:42:31.375315 | Relative x,y | (000,-04) | Absolute x,y | (-04,-306) | Distance : 305.97
12:42:31.385991 | Relative x,y | (000,-05) | Absolute x,y | (-04,-311) | Distance : 310.97
12:42:31.396660 | Relative x,y | (000,-09) | Absolute x,y | (-04,-320) | Distance : 319.97
12:42:31.407353 | Relative x,y | (000,-04) | Absolute x,y | (-04,-324) | Distance : 323.98
12:42:31.418035 | Relative x,y | (000,-05) | Absolute x,y | (-04,-329) | Distance : 328.98
12:42:31.428956 | Relative x,y | (000,-08) | Absolute x,y | (-04,-337) | Distance : 336.98
12:42:31.439740 | Relative x,y | (-01,-04) | Absolute x,y | (-05,-341) | Distance : 340.96
12:42:31.450462 | Relative x,y | (000,-03) | Absolute x,y | (-05,-344) | Distance : 343.96
12:42:31.461209 | Relative x,y | (-01,-09) | Absolute x,y | (-06,-353) | Distance : 352.95
12:42:31.472006 | Relative x,y | (000,-04) | Absolute x,y | (-06,-357) | Distance : 356.95
12:42:31.484380 | Relative x,y | (000,-05) | Absolute x,y | (-06,-362) | Distance : 361.95
12:42:31.495096 | Relative x,y | (000,-08) | Absolute x,y | (-06,-370) | Distance : 369.95
12:42:31.505789 | Relative x,y | (000,-04) | Absolute x,y | (-06,-374) | Distance : 373.95
12:42:31.516550 | Relative x,y | (000,-04) | Absolute x,y | (-06,-378) | Distance : 377.95
12:42:31.527255 | Relative x,y | (000,-09) | Absolute x,y | (-06,-387) | Distance : 386.95
12:42:31.537874 | Relative x,y | (000,-04) | Absolute x,y | (-06,-391) | Distance : 390.95
12:42:31.548460 | Relative x,y | (000,-05) | Absolute x,y | (-06,-396) | Distance : 395.95
12:42:31.559010 | Relative x,y | (000,-09) | Absolute x,y | (-06,-405) | Distance : 404.96
12:42:31.569645 | Relative x,y | (000,-03) | Absolute x,y | (-06,-408) | Distance : 407.96
12:42:31.580362 | Relative x,y | (000,-04) | Absolute x,y | (-06,-412) | Distance : 411.96
12:42:31.591051 | Relative x,y | (000,-04) | Absolute x,y | (-06,-416) | Distance : 415.96
12:42:31.601764 | Relative x,y | (-01,-08) | Absolute x,y | (-07,-424) | Distance : 423.94
