motion.py - Detect flow/motion in front of the PMW3901 sensor.

Press Ctrl+C to exit!

12:44:20.608141 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:44:20.681878 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:44:20.924720 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:44:21.104649 | Relative x,y | (000,-01) | Absolute x,y | (000,-01) | Distance : 1.00
12:44:21.115339 | Relative x,y | (000,-02) | Absolute x,y | (000,-03) | Distance : 3.00
12:44:21.126031 | Relative x,y | (000,-01) | Absolute x,y | (000,-04) | Distance : 4.00
12:44:21.136732 | Relative x,y | (000,-01) | Absolute x,y | (000,-05) | Distance : 5.00
12:44:21.147484 | Relative x,y | (000,-02) | Absolute x,y | (000,-07) | Distance : 7.00
12:44:21.158181 | Relative x,y | (000,-02) | Absolute x,y | (000,-09) | Distance : 9.00
12:44:21.168852 | Relative x,y | (000,-02) | Absolute x,y | (000,-11) | Distance : 11.00
12:44:21.179559 | Relative x,y | (000,-03) | Absolute x,y | (000,-14) | Distance : 14.00
12:44:21.190255 | Relative x,y | (000,-02) | Absolute x,y | (000,-16) | Distance : 16.00
12:44:21.200953 | Relative x,y | (000,-02) | Absolute x,y | (000,-18) | Distance : 18.00
12:44:21.211577 | Relative x,y | (000,-04) | Absolute x,y | (000,-22) | Distance : 22.00
12:44:21.222286 | Relative x,y | (000,-03) | Absolute x,y | (000,-25) | Distance : 25.00
12:44:21.233003 | Relative x,y | (-01,-03) | Absolute x,y | (-01,-28) | Distance : 27.98
12:44:21.243643 | Relative x,y | (000,-02) | Absolute x,y | (-01,-30) | Distance : 29.98
12:44:21.254247 | Relative x,y | (000,-06) | Absolute x,y | (-01,-36) | Distance : 35.99
12:44:21.264902 | Relative x,y | (000,-03) | Absolute x,y | (-01,-39) | Distance : 38.99
12:44:21.275596 | Relative x,y | (000,-02) | Absolute x,y | (-01,-41) | Distance : 40.99
12:44:21.286320 | Relative x,y | (000,-06) | Absolute x,y | (-01,-47) | Distance : 46.99
12:44:21.296957 | Relative x,y | (000,-04) | Absolute x,y | (-01,-51) | Distance : 50.99
12:44:21.307574 | Relative x,y | (000,-04) | Absolute x,y | (-01,-55) | Distance : 54.99
12:44:21.318261 | Relative x,y | (000,-07) | Absolute x,y | (-01,-62) | Distance : 61.99
12:44:21.329023 | Relative x,y | (000,-04) | Absolute x,y | (-01,-66) | Distance : 65.99
12:44:21.341100 | Relative x,y | (000,-04) | Absolute x,y | (-01,-70) | Distance : 69.99
12:44:21.351698 | Relative x,y | (000,-07) | Absolute x,y | (-01,-77) | Distance : 76.99
12:44:21.362243 | Relative x,y | (-01,-04) | Absolute x,y | (-02,-81) | Distance : 80.98
12:44:21.372806 | Relative x,y | (000,-04) | Absolute x,y | (-02,-85) | Distance : 84.98
12:44:21.383465 | Relative x,y | (000,-09) | Absolute x,y | (-02,-94) | Distance : 93.98
12:44:21.394165 | Relative x,y | (000,-04) | Absolute x,y | (-02,-98) | Distance : 97.98
12:44:21.404872 | Relative x,y | (000,-04) | Absolute x,y | (-02,-102) | Distance : 101.98
12:44:21.415566 | Relative x,y | (000,-09) | Absolute x,y | (-02,-111) | Distance : 110.98
12:44:21.426193 | Relative x,y | (000,-04) | Absolute x,y | (-02,-115) | Distance : 114.98
12:44:21.436832 | Relative x,y | (000,-04) | Absolute x,y | (-02,-119) | Distance : 118.98
12:44:21.447503 | Relative x,y | (000,-08) | Absolute x,y | (-02,-127) | Distance : 126.98
12:44:21.458197 | Relative x,y | (000,-04) | Absolute x,y | (-02,-131) | Distance : 130.98
12:44:21.468889 | Relative x,y | (000,-04) | Absolute x,y | (-02,-135) | Distance : 134.99
12:44:21.479563 | Relative x,y | (000,-09) | Absolute x,y | (-02,-144) | Distance : 143.99
12:44:21.490234 | Relative x,y | (-01,-05) | Absolute x,y | (-03,-149) | Distance : 148.97
12:44:21.500900 | Relative x,y | (000,-04) | Absolute x,y | (-03,-153) | Distance : 152.97
12:44:21.511631 | Relative x,y | (000,-04) | Absolute x,y | (-03,-157) | Distance : 156.97
12:44:21.522357 | Relative x,y | (000,-08) | Absolute x,y | (-03,-165) | Distance : 164.97
12:44:21.532983 | Relative x,y | (000,-04) | Absolute x,y | (-03,-169) | Distance : 168.97
12:44:21.543609 | Relative x,y | (000,-05) | Absolute x,y | (-03,-174) | Distance : 173.97
12:44:21.554317 | Relative x,y | (000,-09) | Absolute x,y | (-03,-183) | Distance : 182.98
12:44:21.565010 | Relative x,y | (000,-05) | Absolute x,y | (-03,-188) | Distance : 187.98
12:44:21.577606 | Relative x,y | (000,-04) | Absolute x,y | (-03,-192) | Distance : 191.98
12:44:21.588327 | Relative x,y | (000,-09) | Absolute x,y | (-03,-201) | Distance : 200.98
12:44:21.599251 | Relative x,y | (000,-04) | Absolute x,y | (-03,-205) | Distance : 204.98
12:44:21.610028 | Relative x,y | (000,-09) | Absolute x,y | (-03,-214) | Distance : 213.98
12:44:21.620764 | Relative x,y | (000,-05) | Absolute x,y | (-03,-219) | Distance : 218.98
12:44:21.631483 | Relative x,y | (000,-05) | Absolute x,y | (-03,-224) | Distance : 223.98
12:44:21.642209 | Relative x,y | (000,-08) | Absolute x,y | (-03,-232) | Distance : 231.98
12:44:21.652878 | Relative x,y | (000,-04) | Absolute x,y | (-03,-236) | Distance : 235.98
12:44:21.663561 | Relative x,y | (000,-05) | Absolute x,y | (-03,-241) | Distance : 240.98
12:44:21.674283 | Relative x,y | (000,-08) | Absolute x,y | (-03,-249) | Distance : 248.98
12:44:21.684930 | Relative x,y | (000,-05) | Absolute x,y | (-03,-254) | Distance : 253.98
12:44:21.695506 | Relative x,y | (-01,-04) | Absolute x,y | (-04,-258) | Distance : 257.97
12:44:21.706081 | Relative x,y | (000,-05) | Absolute x,y | (-04,-263) | Distance : 262.97
12:44:21.716736 | Relative x,y | (000,-09) | Absolute x,y | (-04,-272) | Distance : 271.97
12:44:21.727439 | Relative x,y | (000,-05) | Absolute x,y | (-04,-277) | Distance : 276.97
12:44:21.738177 | Relative x,y | (000,-04) | Absolute x,y | (-04,-281) | Distance : 280.97
12:44:21.748908 | Relative x,y | (000,-09) | Absolute x,y | (-04,-290) | Distance : 289.97
12:44:21.759586 | Relative x,y | (000,-04) | Absolute x,y | (-04,-294) | Distance : 293.97
12:44:21.770306 | Relative x,y | (000,-05) | Absolute x,y | (-04,-299) | Distance : 298.97
12:44:21.782690 | Relative x,y | (000,-08) | Absolute x,y | (-04,-307) | Distance : 306.97
12:44:21.793392 | Relative x,y | (000,-04) | Absolute x,y | (-04,-311) | Distance : 310.97
12:44:21.804047 | Relative x,y | (000,-08) | Absolute x,y | (-04,-319) | Distance : 318.97
12:44:21.814603 | Relative x,y | (000,-04) | Absolute x,y | (-04,-323) | Distance : 322.98
12:44:21.825187 | Relative x,y | (000,-04) | Absolute x,y | (-04,-327) | Distance : 326.98
12:44:21.835850 | Relative x,y | (000,-04) | Absolute x,y | (-04,-331) | Distance : 330.98
12:44:21.846541 | Relative x,y | (000,-09) | Absolute x,y | (-04,-340) | Distance : 339.98
12:44:21.857259 | Relative x,y | (000,-05) | Absolute x,y | (-04,-345) | Distance : 344.98
12:44:21.867885 | Relative x,y | (000,-05) | Absolute x,y | (-04,-350) | Distance : 349.98
12:44:21.878474 | Relative x,y | (000,-08) | Absolute x,y | (-04,-358) | Distance : 357.98
12:44:21.889040 | Relative x,y | (000,-04) | Absolute x,y | (-04,-362) | Distance : 361.98
12:44:21.899681 | Relative x,y | (000,-04) | Absolute x,y | (-04,-366) | Distance : 365.98
12:44:21.910440 | Relative x,y | (000,-08) | Absolute x,y | (-04,-374) | Distance : 373.98
12:44:21.921121 | Relative x,y | (000,-05) | Absolute x,y | (-04,-379) | Distance : 378.98
12:44:21.931788 | Relative x,y | (000,-05) | Absolute x,y | (-04,-384) | Distance : 383.98
12:44:21.942507 | Relative x,y | (001,-09) | Absolute x,y | (-03,-393) | Distance : 392.99
12:44:21.953246 | Relative x,y | (000,-05) | Absolute x,y | (-03,-398) | Distance : 397.99
12:44:21.963955 | Relative x,y | (000,-04) | Absolute x,y | (-03,-402) | Distance : 401.99
12:44:21.974652 | Relative x,y | (-01,-08) | Absolute x,y | (-04,-410) | Distance : 409.98
12:44:21.985340 | Relative x,y | (000,-04) | Absolute x,y | (-04,-414) | Distance : 413.98
12:44:21.996045 | Relative x,y | (000,-04) | Absolute x,y | (-04,-418) | Distance : 417.98
12:44:22.006740 | Relative x,y | (000,-10) | Absolute x,y | (-04,-428) | Distance : 427.98
12:44:22.017461 | Relative x,y | (-01,-05) | Absolute x,y | (-05,-433) | Distance : 432.97
12:44:22.028162 | Relative x,y | (000,-04) | Absolute x,y | (-05,-437) | Distance : 436.97
12:44:22.039036 | Relative x,y | (000,-04) | Absolute x,y | (-05,-441) | Distance : 440.97
12:44:22.049717 | Relative x,y | (-01,-07) | Absolute x,y | (-06,-448) | Distance : 447.96
12:44:22.061688 | Relative x,y | (000,-04) | Absolute x,y | (-06,-452) | Distance : 451.96
12:44:22.072423 | Relative x,y | (000,-09) | Absolute x,y | (-06,-461) | Distance : 460.96
12:44:22.083119 | Relative x,y | (000,-05) | Absolute x,y | (-06,-466) | Distance : 465.96
12:44:22.093862 | Relative x,y | (-01,-04) | Absolute x,y | (-07,-470) | Distance : 469.95
12:44:22.104621 | Relative x,y | (000,-08) | Absolute x,y | (-07,-478) | Distance : 477.95
12:44:22.115291 | Relative x,y | (000,-04) | Absolute x,y | (-07,-482) | Distance : 481.95
12:44:22.126009 | Relative x,y | (000,-04) | Absolute x,y | (-07,-486) | Distance : 485.95
12:44:22.136775 | Relative x,y | (000,-04) | Absolute x,y | (-07,-490) | Distance : 489.95
12:44:22.147428 | Relative x,y | (000,-09) | Absolute x,y | (-07,-499) | Distance : 498.95
12:44:22.158137 | Relative x,y | (000,-04) | Absolute x,y | (-07,-503) | Distance : 502.95
12:44:22.168840 | Relative x,y | (000,-04) | Absolute x,y | (-07,-507) | Distance : 506.95
12:44:22.179763 | Relative x,y | (-01,-09) | Absolute x,y | (-08,-516) | Distance : 515.94
12:44:22.190479 | Relative x,y | (000,-03) | Absolute x,y | (-08,-519) | Distance : 518.94
12:44:22.201207 | Relative x,y | (-01,-04) | Absolute x,y | (-09,-523) | Distance : 522.92
12:44:22.211913 | Relative x,y | (000,-08) | Absolute x,y | (-09,-531) | Distance : 530.92
12:44:22.222648 | Relative x,y | (000,-05) | Absolute x,y | (-09,-536) | Distance : 535.92
12:44:22.233355 | Relative x,y | (-01,-04) | Absolute x,y | (-10,-540) | Distance : 539.91
