motion.py - Detect flow/motion in front of the PMW3901 sensor.

Press Ctrl+C to exit!

09/16/22 16:58:05 :: Relative x,y : (-02,-01) | Absolute x,y : (-01,-21)
09/16/22 16:58:05 :: Relative x,y : (000,001) | Absolute x,y : (-01,-20)
09/16/22 16:58:05 :: Relative x,y : (000,001) | Absolute x,y : (-01,-19)
09/16/22 16:58:05 :: Relative x,y : (001,000) | Absolute x,y : (000,-19)
09/16/22 16:58:05 :: Relative x,y : (001,000) | Absolute x,y : (001,-19)
09/16/22 16:58:05 :: Relative x,y : (000,-01) | Absolute x,y : (001,-20)
09/16/22 16:58:05 :: Relative x,y : (-01,-01) | Absolute x,y : (000,-21)
09/16/22 16:58:05 :: Relative x,y : (000,-01) | Absolute x,y : (000,-22)
09/16/22 16:58:05 :: Relative x,y : (000,-01) | Absolute x,y : (000,-23)
09/16/22 16:58:05 :: Relative x,y : (002,000) | Absolute x,y : (002,-23)
09/16/22 16:58:05 :: Relative x,y : (001,001) | Absolute x,y : (003,-22)
09/16/22 16:58:05 :: Relative x,y : (000,001) | Absolute x,y : (003,-21)
09/16/22 16:58:05 :: Relative x,y : (-01,001) | Absolute x,y : (002,-20)
09/16/22 16:58:05 :: Relative x,y : (-01,000) | Absolute x,y : (001,-20)
09/16/22 16:58:05 :: Relative x,y : (-01,-01) | Absolute x,y : (000,-21)
09/16/22 16:58:05 :: Relative x,y : (-01,-01) | Absolute x,y : (-01,-22)
09/16/22 16:58:05 :: Relative x,y : (-01,000) | Absolute x,y : (-02,-22)
09/16/22 16:58:05 :: Relative x,y : (002,002) | Absolute x,y : (000,-20)
09/16/22 16:58:05 :: Relative x,y : (000,-01) | Absolute x,y : (000,-21)
09/16/22 16:58:05 :: Relative x,y : (-01,000) | Absolute x,y : (-01,-21)
09/16/22 16:58:05 :: Relative x,y : (003,001) | Absolute x,y : (002,-20)
09/16/22 16:58:05 :: Relative x,y : (001,000) | Absolute x,y : (003,-20)
09/16/22 16:58:05 :: Relative x,y : (-01,000) | Absolute x,y : (002,-20)
09/16/22 16:58:05 :: Relative x,y : (-01,000) | Absolute x,y : (001,-20)
09/16/22 16:58:05 :: Relative x,y : (-01,-01) | Absolute x,y : (000,-21)
09/16/22 16:58:05 :: Relative x,y : (001,000) | Absolute x,y : (001,-21)
09/16/22 16:58:05 :: Relative x,y : (001,001) | Absolute x,y : (002,-20)
09/16/22 16:58:05 :: Relative x,y : (000,001) | Absolute x,y : (002,-19)
09/16/22 16:58:05 :: Relative x,y : (-01,-01) | Absolute x,y : (001,-20)
09/16/22 16:58:05 :: Relative x,y : (000,-02) | Absolute x,y : (001,-22)
09/16/22 16:58:05 :: Relative x,y : (000,001) | Absolute x,y : (001,-21)
09/16/22 16:58:05 :: Relative x,y : (-01,001) | Absolute x,y : (000,-20)
09/16/22 16:58:05 :: Relative x,y : (-01,000) | Absolute x,y : (-01,-20)
09/16/22 16:58:05 :: Relative x,y : (000,-01) | Absolute x,y : (-01,-21)
09/16/22 16:58:05 :: Relative x,y : (001,000) | Absolute x,y : (000,-21)
09/16/22 16:58:05 :: Relative x,y : (000,001) | Absolute x,y : (000,-20)
09/16/22 16:58:05 :: Relative x,y : (000,001) | Absolute x,y : (000,-19)
09/16/22 16:58:05 :: Relative x,y : (000,-01) | Absolute x,y : (000,-20)
09/16/22 16:58:05 :: Relative x,y : (-01,000) | Absolute x,y : (-01,-20)
