motion.py - Detect flow/motion in front of the PMW3901 sensor.

Press Ctrl+C to exit!

12:47:55.334260 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:47:55.439787 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:47:55.513632 | Relative x,y | (001,000) | Absolute x,y | (001,000) | Distance : 1.00
12:47:55.525501 | Relative x,y | (003,000) | Absolute x,y | (004,000) | Distance : 4.00
12:47:55.536185 | Relative x,y | (002,000) | Absolute x,y | (006,000) | Distance : 6.00
12:47:55.546909 | Relative x,y | (002,000) | Absolute x,y | (008,000) | Distance : 8.00
12:47:55.557619 | Relative x,y | (006,000) | Absolute x,y | (014,000) | Distance : 14.00
12:47:55.568253 | Relative x,y | (003,000) | Absolute x,y | (017,000) | Distance : 17.00
12:47:55.578817 | Relative x,y | (003,-01) | Absolute x,y | (020,-01) | Distance : 19.97
12:47:55.589355 | Relative x,y | (007,000) | Absolute x,y | (027,-01) | Distance : 26.98
12:47:55.599979 | Relative x,y | (004,000) | Absolute x,y | (031,-01) | Distance : 30.98
12:47:55.610664 | Relative x,y | (003,000) | Absolute x,y | (034,-01) | Distance : 33.99
12:47:55.621339 | Relative x,y | (009,000) | Absolute x,y | (043,-01) | Distance : 42.99
12:47:55.632184 | Relative x,y | (004,000) | Absolute x,y | (047,-01) | Distance : 46.99
12:47:55.643157 | Relative x,y | (004,-01) | Absolute x,y | (051,-02) | Distance : 50.96
12:47:55.653873 | Relative x,y | (009,000) | Absolute x,y | (060,-02) | Distance : 59.97
12:47:55.664645 | Relative x,y | (005,000) | Absolute x,y | (065,-02) | Distance : 64.97
12:47:55.675357 | Relative x,y | (006,000) | Absolute x,y | (071,-02) | Distance : 70.97
12:47:55.686079 | Relative x,y | (011,-01) | Absolute x,y | (082,-03) | Distance : 81.95
12:47:55.696799 | Relative x,y | (005,000) | Absolute x,y | (087,-03) | Distance : 86.95
12:47:55.707504 | Relative x,y | (005,000) | Absolute x,y | (092,-03) | Distance : 91.95
12:47:55.718206 | Relative x,y | (006,-01) | Absolute x,y | (098,-04) | Distance : 97.92
12:47:55.728896 | Relative x,y | (012,000) | Absolute x,y | (110,-04) | Distance : 109.93
12:47:55.739579 | Relative x,y | (006,000) | Absolute x,y | (116,-04) | Distance : 115.93
12:47:55.750211 | Relative x,y | (005,000) | Absolute x,y | (121,-04) | Distance : 120.93
12:47:55.760784 | Relative x,y | (013,000) | Absolute x,y | (134,-04) | Distance : 133.94
12:47:55.771359 | Relative x,y | (006,-01) | Absolute x,y | (140,-05) | Distance : 139.91
12:47:55.781987 | Relative x,y | (006,000) | Absolute x,y | (146,-05) | Distance : 145.91
12:47:55.792687 | Relative x,y | (013,-02) | Absolute x,y | (159,-07) | Distance : 158.85
12:47:55.803396 | Relative x,y | (006,000) | Absolute x,y | (165,-07) | Distance : 164.85
12:47:55.815683 | Relative x,y | (007,000) | Absolute x,y | (172,-07) | Distance : 171.86
12:47:55.826384 | Relative x,y | (013,000) | Absolute x,y | (185,-07) | Distance : 184.87
12:47:55.837053 | Relative x,y | (007,000) | Absolute x,y | (192,-07) | Distance : 191.87
12:47:55.847946 | Relative x,y | (007,-01) | Absolute x,y | (199,-08) | Distance : 198.84
12:47:55.858658 | Relative x,y | (013,-01) | Absolute x,y | (212,-09) | Distance : 211.81
12:47:55.869306 | Relative x,y | (007,-01) | Absolute x,y | (219,-10) | Distance : 218.77
12:47:55.880011 | Relative x,y | (006,-02) | Absolute x,y | (225,-12) | Distance : 224.68
12:47:55.890683 | Relative x,y | (014,-01) | Absolute x,y | (239,-13) | Distance : 238.65
12:47:55.901373 | Relative x,y | (007,-01) | Absolute x,y | (246,-14) | Distance : 245.60
12:47:55.912110 | Relative x,y | (007,000) | Absolute x,y | (253,-14) | Distance : 252.61
12:47:55.922835 | Relative x,y | (013,-02) | Absolute x,y | (266,-16) | Distance : 265.52
12:47:55.933550 | Relative x,y | (006,-01) | Absolute x,y | (272,-17) | Distance : 271.47
12:47:55.944240 | Relative x,y | (007,000) | Absolute x,y | (279,-17) | Distance : 278.48
12:47:55.954992 | Relative x,y | (013,-02) | Absolute x,y | (292,-19) | Distance : 291.38
12:47:55.965692 | Relative x,y | (006,000) | Absolute x,y | (298,-19) | Distance : 297.39
12:47:55.976421 | Relative x,y | (007,-01) | Absolute x,y | (305,-20) | Distance : 304.34
12:47:55.987121 | Relative x,y | (012,-01) | Absolute x,y | (317,-21) | Distance : 316.30
12:47:55.997795 | Relative x,y | (007,-01) | Absolute x,y | (324,-22) | Distance : 323.25
12:47:56.008511 | Relative x,y | (006,000) | Absolute x,y | (330,-22) | Distance : 329.27
12:47:56.019175 | Relative x,y | (014,-01) | Absolute x,y | (344,-23) | Distance : 343.23
12:47:56.029780 | Relative x,y | (006,000) | Absolute x,y | (350,-23) | Distance : 349.24
12:47:56.040593 | Relative x,y | (007,-01) | Absolute x,y | (357,-24) | Distance : 356.19
12:47:56.051287 | Relative x,y | (007,000) | Absolute x,y | (364,-24) | Distance : 363.21
12:47:56.062033 | Relative x,y | (013,-02) | Absolute x,y | (377,-26) | Distance : 376.10
12:47:56.072696 | Relative x,y | (006,-01) | Absolute x,y | (383,-27) | Distance : 382.05
12:47:56.083273 | Relative x,y | (007,000) | Absolute x,y | (390,-27) | Distance : 389.06
12:47:56.093838 | Relative x,y | (012,-02) | Absolute x,y | (402,-29) | Distance : 400.95
12:47:56.104518 | Relative x,y | (007,000) | Absolute x,y | (409,-29) | Distance : 407.97
12:47:56.115214 | Relative x,y | (006,-01) | Absolute x,y | (415,-30) | Distance : 413.91
12:47:56.125959 | Relative x,y | (013,-01) | Absolute x,y | (428,-31) | Distance : 426.88
12:47:56.136667 | Relative x,y | (006,000) | Absolute x,y | (434,-31) | Distance : 432.89
12:47:56.147444 | Relative x,y | (006,000) | Absolute x,y | (440,-31) | Distance : 438.91
12:47:56.159615 | Relative x,y | (012,000) | Absolute x,y | (452,-31) | Distance : 450.94
12:47:56.170357 | Relative x,y | (006,000) | Absolute x,y | (458,-31) | Distance : 456.95
12:47:56.181025 | Relative x,y | (006,000) | Absolute x,y | (464,-31) | Distance : 462.96
12:47:56.191730 | Relative x,y | (013,-01) | Absolute x,y | (477,-32) | Distance : 475.93
12:47:56.202436 | Relative x,y | (007,-01) | Absolute x,y | (484,-33) | Distance : 482.87
12:47:56.213149 | Relative x,y | (006,000) | Absolute x,y | (490,-33) | Distance : 488.89
12:47:56.223840 | Relative x,y | (013,000) | Absolute x,y | (503,-33) | Distance : 501.92
12:47:56.234562 | Relative x,y | (006,-01) | Absolute x,y | (509,-34) | Distance : 507.86
12:47:56.245259 | Relative x,y | (006,-01) | Absolute x,y | (515,-35) | Distance : 513.81
12:47:56.255958 | Relative x,y | (013,-01) | Absolute x,y | (528,-36) | Distance : 526.77
12:47:56.266751 | Relative x,y | (006,-01) | Absolute x,y | (534,-37) | Distance : 532.72
12:47:56.277518 | Relative x,y | (007,-01) | Absolute x,y | (541,-38) | Distance : 539.66
12:47:56.288221 | Relative x,y | (013,-01) | Absolute x,y | (554,-39) | Distance : 552.63
12:47:56.298905 | Relative x,y | (007,-01) | Absolute x,y | (561,-40) | Distance : 559.57
12:47:56.309609 | Relative x,y | (006,000) | Absolute x,y | (567,-40) | Distance : 565.59
12:47:56.320274 | Relative x,y | (013,-02) | Absolute x,y | (580,-42) | Distance : 578.48
12:47:56.330973 | Relative x,y | (007,-01) | Absolute x,y | (587,-43) | Distance : 585.42
12:47:56.341656 | Relative x,y | (006,-01) | Absolute x,y | (593,-44) | Distance : 591.37
12:47:56.352400 | Relative x,y | (013,-01) | Absolute x,y | (606,-45) | Distance : 604.33
12:47:56.363074 | Relative x,y | (006,-01) | Absolute x,y | (612,-46) | Distance : 610.27
12:47:56.373700 | Relative x,y | (006,000) | Absolute x,y | (618,-46) | Distance : 616.29
12:47:56.384393 | Relative x,y | (007,000) | Absolute x,y | (625,-46) | Distance : 623.30
12:47:56.397068 | Relative x,y | (013,000) | Absolute x,y | (638,-46) | Distance : 636.34
12:47:56.407813 | Relative x,y | (006,-01) | Absolute x,y | (644,-47) | Distance : 642.28
12:47:56.418512 | Relative x,y | (013,-01) | Absolute x,y | (657,-48) | Distance : 655.24
12:47:56.429202 | Relative x,y | (007,000) | Absolute x,y | (664,-48) | Distance : 662.26
12:47:56.439873 | Relative x,y | (007,000) | Absolute x,y | (671,-48) | Distance : 669.28
12:47:56.450545 | Relative x,y | (013,000) | Absolute x,y | (684,-48) | Distance : 682.31
12:47:56.461198 | Relative x,y | (007,001) | Absolute x,y | (691,-47) | Distance : 689.40
12:47:56.472119 | Relative x,y | (006,000) | Absolute x,y | (697,-47) | Distance : 695.41
12:47:56.482854 | Relative x,y | (013,000) | Absolute x,y | (710,-47) | Distance : 708.44
12:47:56.493521 | Relative x,y | (006,000) | Absolute x,y | (716,-47) | Distance : 714.46
12:47:56.504176 | Relative x,y | (006,000) | Absolute x,y | (722,-47) | Distance : 720.47
12:47:56.514864 | Relative x,y | (013,000) | Absolute x,y | (735,-47) | Distance : 733.50
12:47:56.525559 | Relative x,y | (006,000) | Absolute x,y | (741,-47) | Distance : 739.51
12:47:56.536195 | Relative x,y | (006,000) | Absolute x,y | (747,-47) | Distance : 745.52
12:47:56.546834 | Relative x,y | (014,-01) | Absolute x,y | (761,-48) | Distance : 759.48
12:47:56.557527 | Relative x,y | (007,000) | Absolute x,y | (768,-48) | Distance : 766.50
12:47:56.568305 | Relative x,y | (007,000) | Absolute x,y | (775,-48) | Distance : 773.51
12:47:56.579005 | Relative x,y | (013,000) | Absolute x,y | (788,-48) | Distance : 786.54
12:47:56.589570 | Relative x,y | (006,000) | Absolute x,y | (794,-48) | Distance : 792.55
12:47:56.600141 | Relative x,y | (006,000) | Absolute x,y | (800,-48) | Distance : 798.56
12:47:56.610795 | Relative x,y | (007,-01) | Absolute x,y | (807,-49) | Distance : 805.51
12:47:56.621465 | Relative x,y | (013,000) | Absolute x,y | (820,-49) | Distance : 818.53
12:47:56.632206 | Relative x,y | (007,000) | Absolute x,y | (827,-49) | Distance : 825.55
12:47:56.643132 | Relative x,y | (007,000) | Absolute x,y | (834,-49) | Distance : 832.56
12:47:56.653844 | Relative x,y | (012,-01) | Absolute x,y | (846,-50) | Distance : 844.52
12:47:56.664530 | Relative x,y | (007,000) | Absolute x,y | (853,-50) | Distance : 851.53
12:47:56.676846 | Relative x,y | (006,000) | Absolute x,y | (859,-50) | Distance : 857.54
12:47:56.687460 | Relative x,y | (012,000) | Absolute x,y | (871,-50) | Distance : 869.56
12:47:56.698121 | Relative x,y | (006,-01) | Absolute x,y | (877,-51) | Distance : 875.52
12:47:56.708791 | Relative x,y | (007,000) | Absolute x,y | (884,-51) | Distance : 882.53
12:47:56.719523 | Relative x,y | (013,-02) | Absolute x,y | (897,-53) | Distance : 895.43
12:47:56.730274 | Relative x,y | (007,000) | Absolute x,y | (904,-53) | Distance : 902.45
12:47:56.741006 | Relative x,y | (007,000) | Absolute x,y | (911,-53) | Distance : 909.46
12:47:56.751753 | Relative x,y | (014,000) | Absolute x,y | (925,-53) | Distance : 923.48
12:47:56.762423 | Relative x,y | (006,-01) | Absolute x,y | (931,-54) | Distance : 929.43
12:47:56.773080 | Relative x,y | (006,000) | Absolute x,y | (937,-54) | Distance : 935.44
12:47:56.783763 | Relative x,y | (012,-01) | Absolute x,y | (949,-55) | Distance : 947.40
12:47:56.794468 | Relative x,y | (007,000) | Absolute x,y | (956,-55) | Distance : 954.42
12:47:56.805215 | Relative x,y | (006,000) | Absolute x,y | (962,-55) | Distance : 960.43
12:47:56.815857 | Relative x,y | (012,000) | Absolute x,y | (974,-55) | Distance : 972.45
12:47:56.826490 | Relative x,y | (006,000) | Absolute x,y | (980,-55) | Distance : 978.46
12:47:56.837174 | Relative x,y | (006,000) | Absolute x,y | (986,-55) | Distance : 984.46
12:47:56.847877 | Relative x,y | (013,000) | Absolute x,y | (999,-55) | Distance : 997.48
12:47:56.858602 | Relative x,y | (007,000) | Absolute x,y | (1006,-55) | Distance : 1004.50
