motion.py - Detect flow/motion in front of the PMW3901 sensor.

Press Ctrl+C to exit!

12:46:45.503029 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:46:45.608091 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:46:46.348862 | Relative x,y | (001,000) | Absolute x,y | (001,000) | Distance : 1.00
12:46:46.359541 | Relative x,y | (002,000) | Absolute x,y | (003,000) | Distance : 3.00
12:46:46.370338 | Relative x,y | (002,000) | Absolute x,y | (005,000) | Distance : 5.00
12:46:46.381091 | Relative x,y | (001,000) | Absolute x,y | (006,000) | Distance : 6.00
12:46:46.391726 | Relative x,y | (005,000) | Absolute x,y | (011,000) | Distance : 11.00
12:46:46.402365 | Relative x,y | (002,000) | Absolute x,y | (013,000) | Distance : 13.00
12:46:46.413061 | Relative x,y | (002,000) | Absolute x,y | (015,000) | Distance : 15.00
12:46:46.423716 | Relative x,y | (005,000) | Absolute x,y | (020,000) | Distance : 20.00
12:46:46.434336 | Relative x,y | (004,000) | Absolute x,y | (024,000) | Distance : 24.00
12:46:46.445024 | Relative x,y | (003,000) | Absolute x,y | (027,000) | Distance : 27.00
12:46:46.455756 | Relative x,y | (004,000) | Absolute x,y | (031,000) | Distance : 31.00
12:46:46.467551 | Relative x,y | (007,000) | Absolute x,y | (038,000) | Distance : 38.00
12:46:46.478344 | Relative x,y | (004,000) | Absolute x,y | (042,000) | Distance : 42.00
12:46:46.488882 | Relative x,y | (007,-02) | Absolute x,y | (049,-02) | Distance : 48.96
12:46:46.499419 | Relative x,y | (004,000) | Absolute x,y | (053,-02) | Distance : 52.96
12:46:46.509995 | Relative x,y | (005,000) | Absolute x,y | (058,-02) | Distance : 57.97
12:46:46.520644 | Relative x,y | (009,-01) | Absolute x,y | (067,-03) | Distance : 66.93
12:46:46.531325 | Relative x,y | (005,000) | Absolute x,y | (072,-03) | Distance : 71.94
12:46:46.542029 | Relative x,y | (006,-01) | Absolute x,y | (078,-04) | Distance : 77.90
12:46:46.552736 | Relative x,y | (005,-01) | Absolute x,y | (083,-05) | Distance : 82.85
12:46:46.563424 | Relative x,y | (011,-01) | Absolute x,y | (094,-06) | Distance : 93.81
