motion.py - Detect flow/motion in front of the PMW3901 sensor.

Press Ctrl+C to exit!

12:07:59.793272 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:07:59.995454 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:08:00.100601 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:08:00.376421 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:08:00.481822 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:08:00.871593 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:08:01.042102 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:08:01.147315 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:08:01.317607 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:08:01.465338 | Relative x,y | (001,000) | Absolute x,y | (001,000) | Distance : 1.00
12:08:01.476236 | Relative x,y | (002,000) | Absolute x,y | (003,000) | Distance : 3.00
12:08:01.488507 | Relative x,y | (001,000) | Absolute x,y | (004,000) | Distance : 4.00
12:08:01.499172 | Relative x,y | (004,000) | Absolute x,y | (008,000) | Distance : 8.00
12:08:01.509820 | Relative x,y | (003,-01) | Absolute x,y | (011,-01) | Distance : 10.95
12:08:01.520552 | Relative x,y | (002,000) | Absolute x,y | (013,-01) | Distance : 12.96
12:08:01.531266 | Relative x,y | (005,000) | Absolute x,y | (018,-01) | Distance : 17.97
12:08:01.541954 | Relative x,y | (002,-01) | Absolute x,y | (020,-02) | Distance : 19.90
12:08:01.552620 | Relative x,y | (003,000) | Absolute x,y | (023,-02) | Distance : 22.91
12:08:01.563331 | Relative x,y | (007,-01) | Absolute x,y | (030,-03) | Distance : 29.85
12:08:01.574082 | Relative x,y | (003,000) | Absolute x,y | (033,-03) | Distance : 32.86
12:08:01.584775 | Relative x,y | (004,000) | Absolute x,y | (037,-03) | Distance : 36.88
12:08:01.595464 | Relative x,y | (004,000) | Absolute x,y | (041,-03) | Distance : 40.89
12:08:01.606142 | Relative x,y | (009,000) | Absolute x,y | (050,-03) | Distance : 49.91
12:08:01.616873 | Relative x,y | (005,000) | Absolute x,y | (055,-03) | Distance : 54.92
12:08:01.627601 | Relative x,y | (005,000) | Absolute x,y | (060,-03) | Distance : 59.92
12:08:01.638326 | Relative x,y | (011,000) | Absolute x,y | (071,-03) | Distance : 70.94
12:08:01.649027 | Relative x,y | (006,000) | Absolute x,y | (077,-03) | Distance : 76.94
12:08:01.659733 | Relative x,y | (006,000) | Absolute x,y | (083,-03) | Distance : 82.95
12:08:01.670420 | Relative x,y | (012,000) | Absolute x,y | (095,-03) | Distance : 94.95
12:08:01.681105 | Relative x,y | (006,000) | Absolute x,y | (101,-03) | Distance : 100.96
12:08:01.691841 | Relative x,y | (007,001) | Absolute x,y | (108,-02) | Distance : 107.98
12:08:01.702560 | Relative x,y | (013,001) | Absolute x,y | (121,-01) | Distance : 121.00
12:08:01.713185 | Relative x,y | (008,000) | Absolute x,y | (129,-01) | Distance : 129.00
12:08:01.725453 | Relative x,y | (007,000) | Absolute x,y | (136,-01) | Distance : 136.00
12:08:01.736134 | Relative x,y | (016,000) | Absolute x,y | (152,-01) | Distance : 152.00
12:08:01.746876 | Relative x,y | (007,000) | Absolute x,y | (159,-01) | Distance : 159.00
12:08:01.757654 | Relative x,y | (014,001) | Absolute x,y | (173,000) | Distance : 173.00
12:08:01.768571 | Relative x,y | (008,000) | Absolute x,y | (181,000) | Distance : 181.00
12:08:01.780345 | Relative x,y | (007,000) | Absolute x,y | (188,000) | Distance : 188.00
12:08:01.791078 | Relative x,y | (015,001) | Absolute x,y | (203,001) | Distance : 203.00
12:08:01.801942 | Relative x,y | (007,000) | Absolute x,y | (210,001) | Distance : 210.00
12:08:01.812647 | Relative x,y | (008,000) | Absolute x,y | (218,001) | Distance : 218.00
12:08:01.823357 | Relative x,y | (016,-01) | Absolute x,y | (234,000) | Distance : 234.00
12:08:01.834109 | Relative x,y | (007,000) | Absolute x,y | (241,000) | Distance : 241.00
12:08:01.844862 | Relative x,y | (008,000) | Absolute x,y | (249,000) | Distance : 249.00
12:08:01.855632 | Relative x,y | (015,000) | Absolute x,y | (264,000) | Distance : 264.00
12:08:01.866339 | Relative x,y | (007,000) | Absolute x,y | (271,000) | Distance : 271.00
12:08:01.876920 | Relative x,y | (000,000) | Absolute x,y | (271,000) | Distance : 271.00
