motion.py - Detect flow/motion in front of the PMW3901 sensor.

Press Ctrl+C to exit!

12:08:43.792540 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:08:43.971365 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:08:44.310887 | Relative x,y | (001,000) | Absolute x,y | (001,000) | Distance : 1.00
12:08:44.332107 | Relative x,y | (003,000) | Absolute x,y | (004,000) | Distance : 4.00
12:08:44.342819 | Relative x,y | (001,000) | Absolute x,y | (005,000) | Distance : 5.00
12:08:44.353519 | Relative x,y | (001,000) | Absolute x,y | (006,000) | Distance : 6.00
12:08:44.364246 | Relative x,y | (004,000) | Absolute x,y | (010,000) | Distance : 10.00
12:08:44.374923 | Relative x,y | (003,000) | Absolute x,y | (013,000) | Distance : 13.00
12:08:44.385681 | Relative x,y | (002,000) | Absolute x,y | (015,000) | Distance : 15.00
12:08:44.396376 | Relative x,y | (006,000) | Absolute x,y | (021,000) | Distance : 21.00
12:08:44.407063 | Relative x,y | (003,000) | Absolute x,y | (024,000) | Distance : 24.00
12:08:44.417788 | Relative x,y | (003,000) | Absolute x,y | (027,000) | Distance : 27.00
12:08:44.428519 | Relative x,y | (006,000) | Absolute x,y | (033,000) | Distance : 33.00
12:08:44.439228 | Relative x,y | (003,000) | Absolute x,y | (036,000) | Distance : 36.00
12:08:44.449950 | Relative x,y | (003,000) | Absolute x,y | (039,000) | Distance : 39.00
12:08:44.460643 | Relative x,y | (003,000) | Absolute x,y | (042,000) | Distance : 42.00
12:08:44.471326 | Relative x,y | (008,000) | Absolute x,y | (050,000) | Distance : 50.00
12:08:44.482044 | Relative x,y | (004,000) | Absolute x,y | (054,000) | Distance : 54.00
12:08:44.492732 | Relative x,y | (004,000) | Absolute x,y | (058,000) | Distance : 58.00
12:08:44.503423 | Relative x,y | (008,000) | Absolute x,y | (066,000) | Distance : 66.00
12:08:44.514023 | Relative x,y | (004,000) | Absolute x,y | (070,000) | Distance : 70.00
12:08:44.524588 | Relative x,y | (005,000) | Absolute x,y | (075,000) | Distance : 75.00
12:08:44.535194 | Relative x,y | (010,000) | Absolute x,y | (085,000) | Distance : 85.00
12:08:44.547517 | Relative x,y | (006,000) | Absolute x,y | (091,000) | Distance : 91.00
12:08:44.558536 | Relative x,y | (011,-01) | Absolute x,y | (102,-01) | Distance : 102.00
12:08:44.569286 | Relative x,y | (006,000) | Absolute x,y | (108,-01) | Distance : 108.00
12:08:44.579989 | Relative x,y | (006,000) | Absolute x,y | (114,-01) | Distance : 114.00
12:08:44.590661 | Relative x,y | (005,000) | Absolute x,y | (119,-01) | Distance : 119.00
12:08:44.601341 | Relative x,y | (013,000) | Absolute x,y | (132,-01) | Distance : 132.00
12:08:44.612020 | Relative x,y | (006,000) | Absolute x,y | (138,-01) | Distance : 138.00
12:08:44.622789 | Relative x,y | (007,000) | Absolute x,y | (145,-01) | Distance : 145.00
12:08:44.633521 | Relative x,y | (014,000) | Absolute x,y | (159,-01) | Distance : 159.00
12:08:44.644152 | Relative x,y | (007,-01) | Absolute x,y | (166,-02) | Distance : 165.99
12:08:44.654803 | Relative x,y | (007,000) | Absolute x,y | (173,-02) | Distance : 172.99
12:08:44.665477 | Relative x,y | (014,-01) | Absolute x,y | (187,-03) | Distance : 186.98
12:08:44.676197 | Relative x,y | (008,000) | Absolute x,y | (195,-03) | Distance : 194.98
12:08:44.686905 | Relative x,y | (007,000) | Absolute x,y | (202,-03) | Distance : 201.98
12:08:44.697556 | Relative x,y | (016,001) | Absolute x,y | (218,-02) | Distance : 217.99
12:08:44.708233 | Relative x,y | (008,000) | Absolute x,y | (226,-02) | Distance : 225.99
12:08:44.718923 | Relative x,y | (007,000) | Absolute x,y | (233,-02) | Distance : 232.99
12:08:44.729761 | Relative x,y | (015,000) | Absolute x,y | (248,-02) | Distance : 247.99
12:08:44.740416 | Relative x,y | (008,000) | Absolute x,y | (256,-02) | Distance : 255.99
12:08:44.751000 | Relative x,y | (000,000) | Absolute x,y | (256,-02) | Distance : 255.99
12:08:44.761625 | Relative x,y | (016,001) | Absolute x,y | (272,-01) | Distance : 272.00
12:08:44.772332 | Relative x,y | (007,001) | Absolute x,y | (279,000) | Distance : 279.00
12:08:44.783100 | Relative x,y | (008,000) | Absolute x,y | (287,000) | Distance : 287.00
12:08:44.796457 | Relative x,y | (016,000) | Absolute x,y | (303,000) | Distance : 303.00
12:08:44.807138 | Relative x,y | (008,000) | Absolute x,y | (311,000) | Distance : 311.00
12:08:44.817992 | Relative x,y | (007,001) | Absolute x,y | (318,001) | Distance : 318.00
12:08:44.828731 | Relative x,y | (016,001) | Absolute x,y | (334,002) | Distance : 333.99
12:08:44.839431 | Relative x,y | (008,001) | Absolute x,y | (342,003) | Distance : 341.99
12:08:44.850133 | Relative x,y | (007,001) | Absolute x,y | (349,004) | Distance : 348.98
12:08:44.860865 | Relative x,y | (016,000) | Absolute x,y | (365,004) | Distance : 364.98
12:08:44.871630 | Relative x,y | (008,000) | Absolute x,y | (373,004) | Distance : 372.98
12:08:44.882383 | Relative x,y | (007,000) | Absolute x,y | (380,004) | Distance : 379.98
12:08:44.893114 | Relative x,y | (016,001) | Absolute x,y | (396,005) | Distance : 395.97
12:08:44.903734 | Relative x,y | (007,000) | Absolute x,y | (403,005) | Distance : 402.97
12:08:44.914297 | Relative x,y | (008,000) | Absolute x,y | (411,005) | Distance : 410.97
12:08:44.924896 | Relative x,y | (015,001) | Absolute x,y | (426,006) | Distance : 425.96
12:08:44.935681 | Relative x,y | (008,001) | Absolute x,y | (434,007) | Distance : 433.94
12:08:44.946501 | Relative x,y | (007,000) | Absolute x,y | (441,007) | Distance : 440.94
12:08:44.957225 | Relative x,y | (016,001) | Absolute x,y | (457,008) | Distance : 456.93
12:08:44.968030 | Relative x,y | (008,000) | Absolute x,y | (465,008) | Distance : 464.93
12:08:44.978804 | Relative x,y | (008,001) | Absolute x,y | (473,009) | Distance : 472.91
12:08:44.989594 | Relative x,y | (016,001) | Absolute x,y | (489,010) | Distance : 488.90
12:08:45.000329 | Relative x,y | (008,000) | Absolute x,y | (497,010) | Distance : 496.90
12:08:45.011081 | Relative x,y | (008,000) | Absolute x,y | (505,010) | Distance : 504.90
12:08:45.022008 | Relative x,y | (014,000) | Absolute x,y | (519,010) | Distance : 518.90
12:08:45.032755 | Relative x,y | (008,000) | Absolute x,y | (527,010) | Distance : 526.91
12:08:45.043504 | Relative x,y | (007,001) | Absolute x,y | (534,011) | Distance : 533.89
12:08:45.054240 | Relative x,y | (016,000) | Absolute x,y | (550,011) | Distance : 549.89
12:08:45.064916 | Relative x,y | (008,001) | Absolute x,y | (558,012) | Distance : 557.87
12:08:45.075600 | Relative x,y | (012,000) | Absolute x,y | (570,012) | Distance : 569.87
12:08:45.086280 | Relative x,y | (015,000) | Absolute x,y | (585,012) | Distance : 584.88
12:08:45.097005 | Relative x,y | (007,000) | Absolute x,y | (592,012) | Distance : 591.88
12:08:45.107768 | Relative x,y | (008,000) | Absolute x,y | (600,012) | Distance : 599.88
12:08:45.118423 | Relative x,y | (008,000) | Absolute x,y | (608,012) | Distance : 607.88
12:08:45.129152 | Relative x,y | (015,002) | Absolute x,y | (623,014) | Distance : 622.84
12:08:45.139847 | Relative x,y | (008,000) | Absolute x,y | (631,014) | Distance : 630.84
12:08:45.150538 | Relative x,y | (008,000) | Absolute x,y | (639,014) | Distance : 638.85
12:08:45.161367 | Relative x,y | (013,000) | Absolute x,y | (652,014) | Distance : 651.85
12:08:45.172132 | Relative x,y | (007,001) | Absolute x,y | (659,015) | Distance : 658.83
12:08:45.182762 | Relative x,y | (008,000) | Absolute x,y | (667,015) | Distance : 666.83
12:08:45.193409 | Relative x,y | (015,001) | Absolute x,y | (682,016) | Distance : 681.81
12:08:45.204069 | Relative x,y | (008,001) | Absolute x,y | (690,017) | Distance : 689.79
12:08:45.214759 | Relative x,y | (008,000) | Absolute x,y | (698,017) | Distance : 697.79
12:08:45.225548 | Relative x,y | (016,000) | Absolute x,y | (714,017) | Distance : 713.80
12:08:45.236234 | Relative x,y | (007,000) | Absolute x,y | (721,017) | Distance : 720.80
12:08:45.246916 | Relative x,y | (008,000) | Absolute x,y | (729,017) | Distance : 728.80
12:08:45.257560 | Relative x,y | (015,001) | Absolute x,y | (744,018) | Distance : 743.78
