motion.py - Detect flow/motion in front of the PMW3901 sensor.

Press Ctrl+C to exit!

12:01:20.469731 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:01:20.501530 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:01:20.745260 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:01:20.850770 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:01:21.094610 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:01:21.199963 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:01:21.308765 | Relative x,y | (000,-02) | Absolute x,y | (000,-02) | Distance : 2.00
12:01:21.319495 | Relative x,y | (000,-01) | Absolute x,y | (000,-03) | Distance : 3.00
12:01:21.330188 | Relative x,y | (000,-02) | Absolute x,y | (000,-05) | Distance : 5.00
12:01:21.340908 | Relative x,y | (000,-06) | Absolute x,y | (000,-11) | Distance : 11.00
12:01:21.351618 | Relative x,y | (000,-03) | Absolute x,y | (000,-14) | Distance : 14.00
12:01:21.362384 | Relative x,y | (000,-03) | Absolute x,y | (000,-17) | Distance : 17.00
12:01:21.373084 | Relative x,y | (-01,-07) | Absolute x,y | (-01,-24) | Distance : 23.98
12:01:21.383813 | Relative x,y | (000,-05) | Absolute x,y | (-01,-29) | Distance : 28.98
12:01:21.394593 | Relative x,y | (000,-03) | Absolute x,y | (-01,-32) | Distance : 31.98
12:01:21.405279 | Relative x,y | (001,-09) | Absolute x,y | (000,-41) | Distance : 41.00
12:01:21.415968 | Relative x,y | (000,-04) | Absolute x,y | (000,-45) | Distance : 45.00
12:01:21.426755 | Relative x,y | (000,-05) | Absolute x,y | (000,-50) | Distance : 50.00
12:01:21.437541 | Relative x,y | (000,-05) | Absolute x,y | (000,-55) | Distance : 55.00
12:01:21.448223 | Relative x,y | (000,-10) | Absolute x,y | (000,-65) | Distance : 65.00
12:01:21.458807 | Relative x,y | (000,-05) | Absolute x,y | (000,-70) | Distance : 70.00
12:01:21.469343 | Relative x,y | (000,-04) | Absolute x,y | (000,-74) | Distance : 74.00
12:01:21.479878 | Relative x,y | (000,-11) | Absolute x,y | (000,-85) | Distance : 85.00
12:01:21.490414 | Relative x,y | (000,-06) | Absolute x,y | (000,-91) | Distance : 91.00
12:01:21.500938 | Relative x,y | (000,-06) | Absolute x,y | (000,-97) | Distance : 97.00
12:01:21.511489 | Relative x,y | (000,-15) | Absolute x,y | (000,-112) | Distance : 112.00
12:01:21.522093 | Relative x,y | (000,-07) | Absolute x,y | (000,-119) | Distance : 119.00
12:01:21.532760 | Relative x,y | (000,-09) | Absolute x,y | (000,-128) | Distance : 128.00
12:01:21.543528 | Relative x,y | (000,-16) | Absolute x,y | (000,-144) | Distance : 144.00
12:01:21.554235 | Relative x,y | (000,-08) | Absolute x,y | (000,-152) | Distance : 152.00
12:01:21.564988 | Relative x,y | (000,-08) | Absolute x,y | (000,-160) | Distance : 160.00
12:01:21.575676 | Relative x,y | (000,-09) | Absolute x,y | (000,-169) | Distance : 169.00
12:01:21.586373 | Relative x,y | (000,-18) | Absolute x,y | (000,-187) | Distance : 187.00
12:01:21.597053 | Relative x,y | (000,-09) | Absolute x,y | (000,-196) | Distance : 196.00
12:01:21.607755 | Relative x,y | (000,-10) | Absolute x,y | (000,-206) | Distance : 206.00
12:01:21.618433 | Relative x,y | (000,-19) | Absolute x,y | (000,-225) | Distance : 225.00
12:01:21.629136 | Relative x,y | (000,-09) | Absolute x,y | (000,-234) | Distance : 234.00
12:01:21.639820 | Relative x,y | (000,-09) | Absolute x,y | (000,-243) | Distance : 243.00
12:01:21.652169 | Relative x,y | (000,-19) | Absolute x,y | (000,-262) | Distance : 262.00
12:01:21.662891 | Relative x,y | (000,-11) | Absolute x,y | (000,-273) | Distance : 273.00
12:01:21.673548 | Relative x,y | (000,-20) | Absolute x,y | (000,-293) | Distance : 293.00
