motion.py - Detect flow/motion in front of the PMW3901 sensor.

Press Ctrl+C to exit!

12:07:22.660071 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:07:22.691943 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:07:22.757245 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:07:22.894687 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:07:23.000292 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:07:23.308489 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:07:23.478897 | Relative x,y | (002,000) | Absolute x,y | (002,000) | Distance : 2.00
12:07:23.489575 | Relative x,y | (002,000) | Absolute x,y | (004,000) | Distance : 4.00
12:07:23.500210 | Relative x,y | (001,000) | Absolute x,y | (005,000) | Distance : 5.00
12:07:23.510870 | Relative x,y | (002,000) | Absolute x,y | (007,000) | Distance : 7.00
12:07:23.521568 | Relative x,y | (002,000) | Absolute x,y | (009,000) | Distance : 9.00
12:07:23.532278 | Relative x,y | (005,000) | Absolute x,y | (014,000) | Distance : 14.00
12:07:23.542974 | Relative x,y | (003,000) | Absolute x,y | (017,000) | Distance : 17.00
12:07:23.553577 | Relative x,y | (002,000) | Absolute x,y | (019,000) | Distance : 19.00
12:07:23.564129 | Relative x,y | (006,-01) | Absolute x,y | (025,-01) | Distance : 24.98
12:07:23.574726 | Relative x,y | (004,000) | Absolute x,y | (029,-01) | Distance : 28.98
12:07:23.585415 | Relative x,y | (003,-01) | Absolute x,y | (032,-02) | Distance : 31.94
12:07:23.596125 | Relative x,y | (008,000) | Absolute x,y | (040,-02) | Distance : 39.95
12:07:23.606818 | Relative x,y | (004,000) | Absolute x,y | (044,-02) | Distance : 43.95
12:07:23.617473 | Relative x,y | (005,-01) | Absolute x,y | (049,-03) | Distance : 48.91
12:07:23.628067 | Relative x,y | (009,000) | Absolute x,y | (058,-03) | Distance : 57.92
12:07:23.638617 | Relative x,y | (005,000) | Absolute x,y | (063,-03) | Distance : 62.93
12:07:23.649160 | Relative x,y | (005,-01) | Absolute x,y | (068,-04) | Distance : 67.88
12:07:23.659700 | Relative x,y | (006,000) | Absolute x,y | (074,-04) | Distance : 73.89
12:07:23.671855 | Relative x,y | (011,-01) | Absolute x,y | (085,-05) | Distance : 84.85
12:07:23.682536 | Relative x,y | (006,000) | Absolute x,y | (091,-05) | Distance : 90.86
12:07:23.693202 | Relative x,y | (012,000) | Absolute x,y | (103,-05) | Distance : 102.88
12:07:23.704059 | Relative x,y | (007,000) | Absolute x,y | (110,-05) | Distance : 109.89
12:07:23.714775 | Relative x,y | (007,000) | Absolute x,y | (117,-05) | Distance : 116.89
12:07:23.725481 | Relative x,y | (013,000) | Absolute x,y | (130,-05) | Distance : 129.90
12:07:23.736197 | Relative x,y | (007,000) | Absolute x,y | (137,-05) | Distance : 136.91
12:07:23.746897 | Relative x,y | (007,000) | Absolute x,y | (144,-05) | Distance : 143.91
12:07:23.757620 | Relative x,y | (015,000) | Absolute x,y | (159,-05) | Distance : 158.92
12:07:23.768293 | Relative x,y | (007,000) | Absolute x,y | (166,-05) | Distance : 165.92
12:07:23.778950 | Relative x,y | (008,000) | Absolute x,y | (174,-05) | Distance : 173.93
12:07:23.789644 | Relative x,y | (007,000) | Absolute x,y | (181,-05) | Distance : 180.93
12:07:23.800289 | Relative x,y | (016,000) | Absolute x,y | (197,-05) | Distance : 196.94
12:07:23.810944 | Relative x,y | (007,000) | Absolute x,y | (204,-05) | Distance : 203.94
12:07:23.821647 | Relative x,y | (008,000) | Absolute x,y | (212,-05) | Distance : 211.94
12:07:23.832332 | Relative x,y | (016,001) | Absolute x,y | (228,-04) | Distance : 227.96
12:07:23.842998 | Relative x,y | (008,001) | Absolute x,y | (236,-03) | Distance : 235.98
12:07:23.853659 | Relative x,y | (007,000) | Absolute x,y | (243,-03) | Distance : 242.98
12:07:23.864334 | Relative x,y | (016,001) | Absolute x,y | (259,-02) | Distance : 258.99
12:07:23.875003 | Relative x,y | (008,000) | Absolute x,y | (267,-02) | Distance : 266.99
12:07:23.887182 | Relative x,y | (007,001) | Absolute x,y | (274,-01) | Distance : 274.00
12:07:23.897743 | Relative x,y | (016,001) | Absolute x,y | (290,000) | Distance : 290.00
12:07:23.908270 | Relative x,y | (008,000) | Absolute x,y | (298,000) | Distance : 298.00
12:07:23.918843 | Relative x,y | (008,000) | Absolute x,y | (306,000) | Distance : 306.00
12:07:23.929500 | Relative x,y | (015,000) | Absolute x,y | (321,000) | Distance : 321.00
12:07:23.940226 | Relative x,y | (008,001) | Absolute x,y | (329,001) | Distance : 329.00
12:07:23.950917 | Relative x,y | (008,000) | Absolute x,y | (337,001) | Distance : 337.00
