motion.py - Detect flow/motion in front of the PMW3901 sensor.

Press Ctrl+C to exit!

12:01:37.433978 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:01:37.709771 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:01:38.018064 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:01:38.060315 | Relative x,y | (000,-01) | Absolute x,y | (000,-01) | Distance : 1.00
12:01:38.071037 | Relative x,y | (000,-03) | Absolute x,y | (000,-04) | Distance : 4.00
12:01:38.081636 | Relative x,y | (000,-02) | Absolute x,y | (000,-06) | Distance : 6.00
12:01:38.092194 | Relative x,y | (000,-03) | Absolute x,y | (000,-09) | Distance : 9.00
12:01:38.102775 | Relative x,y | (000,-07) | Absolute x,y | (000,-16) | Distance : 16.00
12:01:38.113357 | Relative x,y | (000,-03) | Absolute x,y | (000,-19) | Distance : 19.00
12:01:38.123901 | Relative x,y | (000,-04) | Absolute x,y | (000,-23) | Distance : 23.00
12:01:38.134453 | Relative x,y | (000,-08) | Absolute x,y | (000,-31) | Distance : 31.00
12:01:38.145012 | Relative x,y | (000,-05) | Absolute x,y | (000,-36) | Distance : 36.00
12:01:38.155646 | Relative x,y | (000,-05) | Absolute x,y | (000,-41) | Distance : 41.00
12:01:38.166367 | Relative x,y | (000,-05) | Absolute x,y | (000,-46) | Distance : 46.00
12:01:38.177065 | Relative x,y | (000,-12) | Absolute x,y | (000,-58) | Distance : 58.00
12:01:38.187801 | Relative x,y | (000,-06) | Absolute x,y | (000,-64) | Distance : 64.00
12:01:38.198496 | Relative x,y | (000,-06) | Absolute x,y | (000,-70) | Distance : 70.00
12:01:38.209239 | Relative x,y | (000,-12) | Absolute x,y | (000,-82) | Distance : 82.00
12:01:38.219994 | Relative x,y | (000,-07) | Absolute x,y | (000,-89) | Distance : 89.00
12:01:38.230705 | Relative x,y | (000,-08) | Absolute x,y | (000,-97) | Distance : 97.00
12:01:38.241396 | Relative x,y | (000,-14) | Absolute x,y | (000,-111) | Distance : 111.00
12:01:38.252098 | Relative x,y | (000,-07) | Absolute x,y | (000,-118) | Distance : 118.00
12:01:38.262774 | Relative x,y | (000,-08) | Absolute x,y | (000,-126) | Distance : 126.00
12:01:38.273457 | Relative x,y | (000,-16) | Absolute x,y | (000,-142) | Distance : 142.00
12:01:38.284153 | Relative x,y | (000,-08) | Absolute x,y | (000,-150) | Distance : 150.00
12:01:38.294845 | Relative x,y | (000,-08) | Absolute x,y | (000,-158) | Distance : 158.00
12:01:38.305546 | Relative x,y | (000,-17) | Absolute x,y | (000,-175) | Distance : 175.00
12:01:38.316254 | Relative x,y | (000,-09) | Absolute x,y | (000,-184) | Distance : 184.00
12:01:38.326866 | Relative x,y | (000,-09) | Absolute x,y | (000,-193) | Distance : 193.00
12:01:38.337426 | Relative x,y | (000,-18) | Absolute x,y | (000,-211) | Distance : 211.00
12:01:38.347990 | Relative x,y | (000,-09) | Absolute x,y | (000,-220) | Distance : 220.00
12:01:38.358560 | Relative x,y | (000,-10) | Absolute x,y | (000,-230) | Distance : 230.00
12:01:38.369210 | Relative x,y | (000,-09) | Absolute x,y | (000,-239) | Distance : 239.00
12:01:38.379899 | Relative x,y | (000,-19) | Absolute x,y | (000,-258) | Distance : 258.00
12:01:38.390596 | Relative x,y | (000,-09) | Absolute x,y | (000,-267) | Distance : 267.00
12:01:38.401307 | Relative x,y | (001,-10) | Absolute x,y | (001,-277) | Distance : 277.00
12:01:38.411960 | Relative x,y | (000,-20) | Absolute x,y | (001,-297) | Distance : 297.00
12:01:38.423911 | Relative x,y | (000,-11) | Absolute x,y | (001,-308) | Distance : 308.00
12:01:38.434582 | Relative x,y | (000,-20) | Absolute x,y | (001,-328) | Distance : 328.00
12:01:38.445250 | Relative x,y | (000,-10) | Absolute x,y | (001,-338) | Distance : 338.00
12:01:38.456965 | Relative x,y | (000,-10) | Absolute x,y | (001,-348) | Distance : 348.00
12:01:38.468321 | Relative x,y | (000,-19) | Absolute x,y | (001,-367) | Distance : 367.00
12:01:38.479005 | Relative x,y | (000,-10) | Absolute x,y | (001,-377) | Distance : 377.00
12:01:38.489701 | Relative x,y | (000,-11) | Absolute x,y | (001,-388) | Distance : 388.00
12:01:38.500469 | Relative x,y | (000,-21) | Absolute x,y | (001,-409) | Distance : 409.00
12:01:38.511128 | Relative x,y | (000,-11) | Absolute x,y | (001,-420) | Distance : 420.00
12:01:38.521852 | Relative x,y | (000,-10) | Absolute x,y | (001,-430) | Distance : 430.00
12:01:38.532697 | Relative x,y | (000,-20) | Absolute x,y | (001,-450) | Distance : 450.00
12:01:38.543414 | Relative x,y | (000,-09) | Absolute x,y | (001,-459) | Distance : 459.00
12:01:38.554129 | Relative x,y | (000,-10) | Absolute x,y | (001,-469) | Distance : 469.00
12:01:38.564817 | Relative x,y | (000,-21) | Absolute x,y | (001,-490) | Distance : 490.00
12:01:38.575511 | Relative x,y | (000,-11) | Absolute x,y | (001,-501) | Distance : 501.00
12:01:38.586312 | Relative x,y | (000,-11) | Absolute x,y | (001,-512) | Distance : 512.00
12:01:38.596970 | Relative x,y | (-01,-20) | Absolute x,y | (000,-532) | Distance : 532.00
12:01:38.607534 | Relative x,y | (000,-10) | Absolute x,y | (000,-542) | Distance : 542.00
12:01:38.618120 | Relative x,y | (000,-10) | Absolute x,y | (000,-552) | Distance : 552.00
12:01:38.628781 | Relative x,y | (000,-11) | Absolute x,y | (000,-563) | Distance : 563.00
12:01:38.640901 | Relative x,y | (000,-22) | Absolute x,y | (000,-585) | Distance : 585.00
12:01:38.651654 | Relative x,y | (000,-11) | Absolute x,y | (000,-596) | Distance : 596.00
12:01:38.662322 | Relative x,y | (000,-21) | Absolute x,y | (000,-617) | Distance : 617.00
12:01:38.672934 | Relative x,y | (-01,-11) | Absolute x,y | (-01,-628) | Distance : 628.00
12:01:38.683590 | Relative x,y | (000,-10) | Absolute x,y | (-01,-638) | Distance : 638.00
12:01:38.694265 | Relative x,y | (000,-20) | Absolute x,y | (-01,-658) | Distance : 658.00
12:01:38.704937 | Relative x,y | (000,-10) | Absolute x,y | (-01,-668) | Distance : 668.00
12:01:38.715649 | Relative x,y | (000,-11) | Absolute x,y | (-01,-679) | Distance : 679.00
12:01:38.726342 | Relative x,y | (000,-11) | Absolute x,y | (-01,-690) | Distance : 690.00
12:01:38.737132 | Relative x,y | (000,-21) | Absolute x,y | (-01,-711) | Distance : 711.00
12:01:38.747853 | Relative x,y | (000,-11) | Absolute x,y | (-01,-722) | Distance : 722.00
12:01:38.758556 | Relative x,y | (000,-10) | Absolute x,y | (-01,-732) | Distance : 732.00
12:01:38.769270 | Relative x,y | (000,-20) | Absolute x,y | (-01,-752) | Distance : 752.00
12:01:38.779985 | Relative x,y | (000,-10) | Absolute x,y | (-01,-762) | Distance : 762.00
12:01:38.790728 | Relative x,y | (000,-10) | Absolute x,y | (-01,-772) | Distance : 772.00
12:01:38.803156 | Relative x,y | (001,-21) | Absolute x,y | (000,-793) | Distance : 793.00
12:01:38.814966 | Relative x,y | (000,-10) | Absolute x,y | (000,-803) | Distance : 803.00
