motion.py - Detect flow/motion in front of the PMW3901 sensor.

Press Ctrl+C to exit!

12:45:32.368151 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:45:32.644471 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:45:32.781700 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:45:32.960866 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:45:33.194808 | Relative x,y | (000,-01) | Absolute x,y | (000,-01) | Distance : 1.00
12:45:33.205527 | Relative x,y | (000,-01) | Absolute x,y | (000,-02) | Distance : 2.00
12:45:33.216227 | Relative x,y | (000,-02) | Absolute x,y | (000,-04) | Distance : 4.00
12:45:33.226960 | Relative x,y | (000,-01) | Absolute x,y | (000,-05) | Distance : 5.00
12:45:33.237661 | Relative x,y | (000,-01) | Absolute x,y | (000,-06) | Distance : 6.00
12:45:33.248607 | Relative x,y | (000,-03) | Absolute x,y | (000,-09) | Distance : 9.00
12:45:33.260785 | Relative x,y | (000,-01) | Absolute x,y | (000,-10) | Distance : 10.00
12:45:33.271476 | Relative x,y | (000,-02) | Absolute x,y | (000,-12) | Distance : 12.00
12:45:33.282170 | Relative x,y | (000,-04) | Absolute x,y | (000,-16) | Distance : 16.00
12:45:33.292918 | Relative x,y | (000,-02) | Absolute x,y | (000,-18) | Distance : 18.00
12:45:33.303660 | Relative x,y | (000,-02) | Absolute x,y | (000,-20) | Distance : 20.00
12:45:33.314391 | Relative x,y | (000,-05) | Absolute x,y | (000,-25) | Distance : 25.00
12:45:33.325075 | Relative x,y | (-01,-02) | Absolute x,y | (-01,-27) | Distance : 26.98
12:45:33.335806 | Relative x,y | (000,-03) | Absolute x,y | (-01,-30) | Distance : 29.98
12:45:33.346536 | Relative x,y | (000,-05) | Absolute x,y | (-01,-35) | Distance : 34.99
12:45:33.357196 | Relative x,y | (000,-03) | Absolute x,y | (-01,-38) | Distance : 37.99
12:45:33.367774 | Relative x,y | (000,-03) | Absolute x,y | (-01,-41) | Distance : 40.99
12:45:33.378372 | Relative x,y | (-01,-07) | Absolute x,y | (-02,-48) | Distance : 47.96
12:45:33.389017 | Relative x,y | (000,-03) | Absolute x,y | (-02,-51) | Distance : 50.96
12:45:33.399732 | Relative x,y | (-01,-03) | Absolute x,y | (-03,-54) | Distance : 53.92
12:45:33.410438 | Relative x,y | (000,-07) | Absolute x,y | (-03,-61) | Distance : 60.93
12:45:33.421201 | Relative x,y | (000,-03) | Absolute x,y | (-03,-64) | Distance : 63.93
12:45:33.431852 | Relative x,y | (-01,-04) | Absolute x,y | (-04,-68) | Distance : 67.88
12:45:33.442426 | Relative x,y | (-01,-06) | Absolute x,y | (-05,-74) | Distance : 73.83
12:45:33.452982 | Relative x,y | (000,-04) | Absolute x,y | (-05,-78) | Distance : 77.84
12:45:33.463532 | Relative x,y | (000,-04) | Absolute x,y | (-05,-82) | Distance : 81.85
12:45:33.474160 | Relative x,y | (000,-04) | Absolute x,y | (-05,-86) | Distance : 85.85
12:45:33.484829 | Relative x,y | (000,-09) | Absolute x,y | (-05,-95) | Distance : 94.87
12:45:33.497157 | Relative x,y | (000,-04) | Absolute x,y | (-05,-99) | Distance : 98.87
12:45:33.507916 | Relative x,y | (-01,-08) | Absolute x,y | (-06,-107) | Distance : 106.83
12:45:33.518615 | Relative x,y | (-01,-04) | Absolute x,y | (-07,-111) | Distance : 110.78
12:45:33.529278 | Relative x,y | (000,-04) | Absolute x,y | (-07,-115) | Distance : 114.79
12:45:33.540006 | Relative x,y | (000,-03) | Absolute x,y | (-07,-118) | Distance : 117.79
12:45:33.550779 | Relative x,y | (-01,-09) | Absolute x,y | (-08,-127) | Distance : 126.75
12:45:33.561575 | Relative x,y | (000,-04) | Absolute x,y | (-08,-131) | Distance : 130.76
12:45:33.572273 | Relative x,y | (-01,-05) | Absolute x,y | (-09,-136) | Distance : 135.70
12:45:33.582954 | Relative x,y | (000,-08) | Absolute x,y | (-09,-144) | Distance : 143.72
12:45:33.593635 | Relative x,y | (000,-04) | Absolute x,y | (-09,-148) | Distance : 147.73
12:45:33.604549 | Relative x,y | (000,-04) | Absolute x,y | (-09,-152) | Distance : 151.73
12:45:33.615291 | Relative x,y | (-01,-09) | Absolute x,y | (-10,-161) | Distance : 160.69
12:45:33.625955 | Relative x,y | (-01,-04) | Absolute x,y | (-11,-165) | Distance : 164.63
12:45:33.636575 | Relative x,y | (000,-05) | Absolute x,y | (-11,-170) | Distance : 169.64
12:45:33.647222 | Relative x,y | (000,-09) | Absolute x,y | (-11,-179) | Distance : 178.66
12:45:33.658017 | Relative x,y | (000,-05) | Absolute x,y | (-11,-184) | Distance : 183.67
12:45:33.669156 | Relative x,y | (000,-04) | Absolute x,y | (-11,-188) | Distance : 187.68
12:45:33.679847 | Relative x,y | (-01,-09) | Absolute x,y | (-12,-197) | Distance : 196.63
12:45:33.690528 | Relative x,y | (-01,-04) | Absolute x,y | (-13,-201) | Distance : 200.58
12:45:33.701260 | Relative x,y | (000,-04) | Absolute x,y | (-13,-205) | Distance : 204.59
12:45:33.711946 | Relative x,y | (000,-10) | Absolute x,y | (-13,-215) | Distance : 214.61
12:45:33.722578 | Relative x,y | (000,-04) | Absolute x,y | (-13,-219) | Distance : 218.61
12:45:33.733135 | Relative x,y | (-01,-05) | Absolute x,y | (-14,-224) | Distance : 223.56
12:45:33.743721 | Relative x,y | (-01,-08) | Absolute x,y | (-15,-232) | Distance : 231.51
