motion.py - Detect flow/motion in front of the PMW3901 sensor.

Press Ctrl+C to exit!

12:43:16.616016 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:43:16.689428 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:43:16.826588 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:43:17.070671 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:43:17.091953 | Relative x,y | (000,-01) | Absolute x,y | (000,-01) | Distance : 1.00
12:43:17.102603 | Relative x,y | (000,000) | Absolute x,y | (000,-01) | Distance : 1.00
12:43:17.113217 | Relative x,y | (000,-01) | Absolute x,y | (000,-02) | Distance : 2.00
12:43:17.123824 | Relative x,y | (000,-02) | Absolute x,y | (000,-04) | Distance : 4.00
12:43:17.134484 | Relative x,y | (-01,-02) | Absolute x,y | (-01,-06) | Distance : 5.92
12:43:17.145187 | Relative x,y | (000,-01) | Absolute x,y | (-01,-07) | Distance : 6.93
12:43:17.155907 | Relative x,y | (000,-03) | Absolute x,y | (-01,-10) | Distance : 9.95
12:43:17.166579 | Relative x,y | (000,-02) | Absolute x,y | (-01,-12) | Distance : 11.96
12:43:17.177184 | Relative x,y | (000,-02) | Absolute x,y | (-01,-14) | Distance : 13.96
12:43:17.187718 | Relative x,y | (000,-05) | Absolute x,y | (-01,-19) | Distance : 18.97
12:43:17.198236 | Relative x,y | (000,-02) | Absolute x,y | (-01,-21) | Distance : 20.98
12:43:17.208803 | Relative x,y | (-01,-02) | Absolute x,y | (-02,-23) | Distance : 22.91
12:43:17.219492 | Relative x,y | (000,-06) | Absolute x,y | (-02,-29) | Distance : 28.93
12:43:17.230197 | Relative x,y | (000,-02) | Absolute x,y | (-02,-31) | Distance : 30.94
12:43:17.240899 | Relative x,y | (000,-03) | Absolute x,y | (-02,-34) | Distance : 33.94
12:43:17.251599 | Relative x,y | (000,-06) | Absolute x,y | (-02,-40) | Distance : 39.95
12:43:17.262265 | Relative x,y | (-01,-03) | Absolute x,y | (-03,-43) | Distance : 42.90
12:43:17.274466 | Relative x,y | (000,-03) | Absolute x,y | (-03,-46) | Distance : 45.90
