motion.py - Detect flow/motion in front of the PMW3901 sensor.

Press Ctrl+C to exit!

12:43:57.423642 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:43:57.488655 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:43:57.627270 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:43:57.659033 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:43:57.901858 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:43:58.072420 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:43:58.188411 | Relative x,y | (000,-01) | Absolute x,y | (000,-01) | Distance : 1.00
12:43:58.199181 | Relative x,y | (000,-02) | Absolute x,y | (000,-03) | Distance : 3.00
12:43:58.209918 | Relative x,y | (000,-01) | Absolute x,y | (000,-04) | Distance : 4.00
12:43:58.220580 | Relative x,y | (000,-01) | Absolute x,y | (000,-05) | Distance : 5.00
12:43:58.231280 | Relative x,y | (000,-03) | Absolute x,y | (000,-08) | Distance : 8.00
12:43:58.241976 | Relative x,y | (000,-01) | Absolute x,y | (000,-09) | Distance : 9.00
12:43:58.252719 | Relative x,y | (000,-02) | Absolute x,y | (000,-11) | Distance : 11.00
12:43:58.263386 | Relative x,y | (000,-04) | Absolute x,y | (000,-15) | Distance : 15.00
12:43:58.274061 | Relative x,y | (000,-02) | Absolute x,y | (000,-17) | Distance : 17.00
12:43:58.286392 | Relative x,y | (000,-02) | Absolute x,y | (000,-19) | Distance : 19.00
12:43:58.297312 | Relative x,y | (000,-04) | Absolute x,y | (000,-23) | Distance : 23.00
12:43:58.307961 | Relative x,y | (000,-02) | Absolute x,y | (000,-25) | Distance : 25.00
12:43:58.318617 | Relative x,y | (000,-02) | Absolute x,y | (000,-27) | Distance : 27.00
12:43:58.329305 | Relative x,y | (001,-05) | Absolute x,y | (001,-32) | Distance : 31.98
