motion.py - Detect flow/motion in front of the PMW3901 sensor.

Press Ctrl+C to exit!

12:45:12.294561 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:45:12.465606 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:45:12.741985 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:45:12.879408 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:45:12.890097 | Relative x,y | (000,-01) | Absolute x,y | (000,-01) | Distance : 1.00
12:45:12.900666 | Relative x,y | (000,-01) | Absolute x,y | (000,-02) | Distance : 2.00
12:45:12.911278 | Relative x,y | (000,-02) | Absolute x,y | (000,-04) | Distance : 4.00
12:45:12.921979 | Relative x,y | (000,-01) | Absolute x,y | (000,-05) | Distance : 5.00
12:45:12.932746 | Relative x,y | (000,-03) | Absolute x,y | (000,-08) | Distance : 8.00
12:45:12.943508 | Relative x,y | (000,-01) | Absolute x,y | (000,-09) | Distance : 9.00
12:45:12.954245 | Relative x,y | (000,-02) | Absolute x,y | (000,-11) | Distance : 11.00
12:45:12.964950 | Relative x,y | (000,-05) | Absolute x,y | (000,-16) | Distance : 16.00
12:45:12.975652 | Relative x,y | (000,-02) | Absolute x,y | (000,-18) | Distance : 18.00
12:45:12.986398 | Relative x,y | (000,-03) | Absolute x,y | (000,-21) | Distance : 21.00
12:45:12.997054 | Relative x,y | (000,-05) | Absolute x,y | (000,-26) | Distance : 26.00
12:45:13.007629 | Relative x,y | (000,-03) | Absolute x,y | (000,-29) | Distance : 29.00
12:45:13.019790 | Relative x,y | (000,-03) | Absolute x,y | (000,-32) | Distance : 32.00
12:45:13.030638 | Relative x,y | (-01,-06) | Absolute x,y | (-01,-38) | Distance : 37.99
12:45:13.041367 | Relative x,y | (000,-03) | Absolute x,y | (-01,-41) | Distance : 40.99
12:45:13.052065 | Relative x,y | (000,-04) | Absolute x,y | (-01,-45) | Distance : 44.99
12:45:13.062690 | Relative x,y | (000,-07) | Absolute x,y | (-01,-52) | Distance : 51.99
12:45:13.073253 | Relative x,y | (000,-04) | Absolute x,y | (-01,-56) | Distance : 55.99
12:45:13.083776 | Relative x,y | (000,-04) | Absolute x,y | (-01,-60) | Distance : 59.99
12:45:13.094308 | Relative x,y | (-01,-07) | Absolute x,y | (-02,-67) | Distance : 66.97
12:45:13.104883 | Relative x,y | (000,-04) | Absolute x,y | (-02,-71) | Distance : 70.97
12:45:13.115485 | Relative x,y | (000,-04) | Absolute x,y | (-02,-75) | Distance : 74.97
12:45:13.126139 | Relative x,y | (000,-07) | Absolute x,y | (-02,-82) | Distance : 81.98
12:45:13.136821 | Relative x,y | (000,-04) | Absolute x,y | (-02,-86) | Distance : 85.98
